Perkins Restaurant & Bakery,ChIJuVct82nXDIgRKdGAHV-QyDc,OPERATIONAL,restaurant bakery food store,"1214 W University Ave, Urbana",2,4.2,847
A-Ri-Rang,ChIJr032fkDXDIgRZqjWVn7ihNg,OPERATIONAL,restaurant food,"607 S Wright St, Champaign",2,4.6,121
Jip Bap,ChIJRzAtXz_XDIgRo6V3stqgBXI,OPERATIONAL,restaurant food,"601 S 6th St Suite 101, Champaign",1,4.4,188
Sushi Rock Restaurant,ChIJUSw7cz_XDIgRNY4MjOVaHow,OPERATIONAL,restaurant food,"621 E Green St, Champaign",2,4.3,117
Maize Mexican Grill,ChIJL4_lNDbXDIgRLqBPGB1HM40,OPERATIONAL,restaurant food,"60 E Green St, Champaign",1,4.6,933
Mid Summer Lounge,ChIJ3xANcz_XDIgRbwg1u3vipYg,OPERATIONAL,restaurant food,"623 E Green St, Champaign",2,4.2,186
Lao Sze Chuan Chinese Restaurant and Bar,ChIJTx3p1kPXDIgR3k1D3UD_aa4,CLOSED_TEMPORARILY,restaurant food,"608 E University Ave #105, Champaign",2,4,234
Paris super crepes,ChIJ7YBSXz_XDIgRGNTN8inplOQ,OPERATIONAL,restaurant food store,"601 S 6th St #106, Champaign",2,4.5,281
Signature Grill,ChIJFZiKNT_XDIgRGo1TCsq9bG0,OPERATIONAL,restaurant food,"505 E Green St #3, Champaign",1,4.4,393
Chipotle Mexican Grill,ChIJv8lkCT_XDIgR_06HwKpZYYI,OPERATIONAL,restaurant food,"528 E Green St #101, Champaign",1,4,518
Black Dog Smoke & Ale House,ChIJJw__lE7XDIgRkas9FlWzcMM,OPERATIONAL,restaurant food,"320 N Chestnut St, Champaign",2,4.6,2106
Shiquan,ChIJz16Dj0vXDIgR7mozQRVFOkY,OPERATIONAL,meal_delivery restaurant food,"212 E Green St #102, Champaign",2,4.6,64
Noodles and Company,ChIJv8lkCT_XDIgR7SK4MGhE3pQ,OPERATIONAL,restaurant meal_takeaway food store,"528 E Green St, Champaign",1,4.1,371
Maize at the Station,ChIJO5iask7XDIgRnlRSQ-bHxZs,OPERATIONAL,restaurant food,"100 N Chestnut St, Champaign",1,4.5,772
Arirang,ChIJUVVVzkbXDIgRvLX16q6IJBo,OPERATIONAL,restaurant food,"607 S Wright St, Champaign",2,4.6,35
Pokelab Champaign,ChIJM1VvWz_XDIgRI5BMom8rby8,OPERATIONAL,restaurant food,"605 S 6th St, Champaign",2,3.9,102
Nando Milano,ChIJZQrmY0zXDIgRBitutkVMdjI,OPERATIONAL,restaurant food,"204 N Neil St, Champaign",2,4.4,289
Kohinoor Indian Restaurant and Lounge,ChIJXV9mjk3XDIgRDIVbrstTQFg,OPERATIONAL,meal_takeaway restaurant food,"6 E Columbia Ave, Champaign",2,4.5,803
Panda Express,ChIJGUeLnT_XDIgRSmjnYZceP44,CLOSED_TEMPORARILY,meal_takeaway restaurant food,"627 S Wright St, Champaign",1,4,493
Howdy,ChIJj75Ld2PXDIgReiuIymLWa50,OPERATIONAL,restaurant food,"625 E Green St, Champaign",2,4.3,110
Evo Cafe,ChIJmYtYOz_XDIgRheUuWFqnMBI,OPERATIONAL,restaurant food,"711 S 6th St, Champaign",1,4.1,142
Fat Sandwich Company,ChIJ2wrFLD_XDIgRO4NJ-R8ff3I,OPERATIONAL,meal_delivery meal_takeaway restaurant food,"502 E John St, Champaign",1,4,140
Seven Saints,ChIJI_EG90vXDIgRsfh08quGoOY,OPERATIONAL,bar restaurant food,"32 E Chester St, Champaign",2,4.6,1288
Nanjing Bistro,ChIJz7xToLnXDIgRHaqmcK0_UHI,OPERATIONAL,restaurant food,"508 E Green St, Champaign",2,4.1,16
Kofusion,ChIJd-fDXkzXDIgR0P4LX3uTnk8,OPERATIONAL,restaurant food,"1 E Main St, Champaign",3,4.4,578
Burrito King Mexican Grill,ChIJx4iHkTjXDIgRcXG3Vp9LqxQ,OPERATIONAL,restaurant food,"408 E Green St, Champaign",1,4.1,363
Lai Lai Wok,ChIJw0qqkTjXDIgR4yptdp8KwaY,OPERATIONAL,restaurant food,"402 E Green St, Champaign",1,4,215
Dairy Queen Grill & Chill,ChIJGalvnm7XDIgRBtQWj9m5_Xw,OPERATIONAL,restaurant food store,"911 W University Ave, Urbana",1,4.1,344
Sticky Rice,ChIJ1wD_p03XDIgRmF-XzG8FVhA,OPERATIONAL,restaurant food,"415 N Neil St, Champaign",2,4.7,193
Big Grove Tavern,ChIJO6srX0zXDIgRaywVouCA2i8,OPERATIONAL,bar restaurant food,"1 E Main St, Champaign",2,4.1,595
Sushi Kame,ChIJ8ctt6EzXDIgRxIKhPClhecA,OPERATIONAL,restaurant food,"39 E Green St, Champaign",2,4.4,277
Manolo's Pizza & Empanadas,ChIJy8hHOhTXDIgRw8-A4gSrjXo,OPERATIONAL,restaurant food,"1115 W Oregon St, Urbana",1,4.3,285
BoBo China,ChIJx4iHkTjXDIgRlrgrAdUJNuE,OPERATIONAL,restaurant food,"404 E Green St, Champaign",1,3.9,95
The Himalayan Chimney,ChIJU4zBwkzXDIgRwNXNIR8e0oo,OPERATIONAL,restaurant food,"134 W Church St, Champaign",2,4.4,646
Mitsu & Tsaocaa,ChIJNb7ho6HXDIgRNdT8dmaRm1Q,OPERATIONAL,restaurant food,"608 S 6th St, Champaign",2,4,47
Sushi Ichiban,ChIJm91feD_XDIgRGK707_uqJ-g,OPERATIONAL,restaurant food,"619 S Wright St, Champaign",1,3.8,256
C-U La La Noodle,ChIJLZylq8LXDIgR-jgWxNxzFFE,OPERATIONAL,restaurant food,"410 E Green St #13, Champaign",2,4,41
Good Fella,ChIJL_AOoDPXDIgRZlOFWPkwwBw,OPERATIONAL,restaurant food,"905 S Neil St # F, Champaign",2,4.4,103
Mr crab Cajun boil seafood house,ChIJ8_qTGCPXDIgRFcypEQpQ5tw,OPERATIONAL,restaurant food,"401 S 1st St, Champaign",2,4.2,38
Burger King,ChIJVU0tYWnXDIgRe4I1I0YcD9I,OPERATIONAL,restaurant food,"1106 W University Ave, Urbana",1,3.8,383
Neil St Blues,ChIJyZ-YWFrXDIgRQ78mxkN5oPY,OPERATIONAL,restaurant night_club bar food,"301 N Neil St #106, Champaign",2,4.4,362
Dos Reales Mexican Restaurant,ChIJ90b5q6fQDIgRYOqwFsv57zA,OPERATIONAL,restaurant food,"1407 N Prospect Ave, Champaign",1,4.5,1444
Jupiter's Pizzeria & Billiards,ChIJrSMwH0zXDIgRhQFezOWfDFQ,OPERATIONAL,bar restaurant food,"39 E Main St, Champaign",2,4.3,535
Guido's Bar & Grill,ChIJT-lsZ0zXDIgR-fxSGmfPUaM,OPERATIONAL,bar restaurant food,"2 E Main St, Champaign",2,4.2,644
Hot Wok Express,ChIJDZoqWmnXDIgRkYchI2qxObA,OPERATIONAL,restaurant food,"1102 W University Ave, Urbana",1,3.8,213
Asian Noodle & Sushi,ChIJbx2wQP3RDIgRgsrYGnwT6x8,OPERATIONAL,restaurant food,"305 Cedar St, Champaign",2,4.4,87
Olive Garden Italian Restaurant,ChIJrSiOH_zZDIgREtu1depy0TA,OPERATIONAL,meal_takeaway bar restaurant food,"30 E Anthony Dr, Champaign",2,4.2,1793
Rosati's Pizza,ChIJFeza-BPXDIgR5Tv11ezLwA8,OPERATIONAL,meal_delivery meal_takeaway restaurant food,"701 S Gregory St H, Urbana",2,4.1,252
Thara Thai Restaurant,ChIJA7nJkwnaDIgRqKSiWJAo6mg,OPERATIONAL,restaurant food,"912 1/2 W Bloomington Rd, Champaign",2,4.7,498
Merry Ann's Diner (on Campus),ChIJ7yVKCBTXDIgRuUXpCS_zjBI,CLOSED_TEMPORARILY,restaurant food,"701 S Gregory St c, Urbana",1,4.4,522
Alexander's Steakhouse,ChIJt_KmN__ZDIgRNm4Q-88Uq6g,OPERATIONAL,restaurant food,"202 W Anthony Dr, Champaign",2,4.4,636
Cowboy Monkey,ChIJd58ZbkzXDIgR5k5W44BYcds,OPERATIONAL,restaurant bar food,"6 Taylor St, Champaign",2,4.1,200
El Toro II,ChIJlzqRiDTXDIgRKB7rQIu9wyc,OPERATIONAL,restaurant food,"723 S Neil St, Champaign",2,4.1,383
McDonald's,ChIJv5lMaT_XDIgRsEtHigVjhEY,OPERATIONAL,cafe restaurant food store,"616 E Green St, Champaign",1,3.6,587
Basil Thai At Urbana,ChIJFeza-BPXDIgR4As0XIHLEds,OPERATIONAL,restaurant food,"701 S Gregory St # B, Urbana",2,3.9,175
Wingstop,ChIJ2b7YljXXDIgRCelOtJv_RMo,OPERATIONAL,restaurant food,"512 S Neil St, Champaign",2,4,307
Rainbow Garden,ChIJf_3DcC3XDIgREENlQ4b97PQ,OPERATIONAL,restaurant food,"1402 S Neil St, Champaign",2,4.2,308
Papa Del's,ChIJXTSE-jLXDIgRXYUfHxxKqUY,OPERATIONAL,restaurant food,"1201 S Neil St, Champaign",2,4.2,1474
LongHorn Steakhouse,ChIJQWWdNg7aDIgRW8wgVx_q0ao,OPERATIONAL,meal_takeaway bar restaurant food,"2101 N Prospect Ave, Champaign",2,4.3,1073
